frame_index,num_person_detections,num_unique_track_ids,track_ids
613,7,7,"228,231,237,246,249,250,255"
614,7,7,"228,231,237,246,249,250,255"
615,6,6,"228,231,237,246,249,250"
616,5,5,"228,231,237,250,255"
617,6,6,"228,231,237,246,250,255"
618,6,6,"228,231,237,246,249,250"
619,7,7,"228,231,237,246,249,250,255"
620,6,6,"228,231,237,246,249,250"
621,6,6,"228,231,237,246,249,250"
622,6,6,"228,231,237,246,249,250"
623,6,6,"228,231,237,246,249,250"
624,6,6,"228,231,237,246,249,250"
625,6,6,"228,231,237,246,249,250"
626,6,6,"228,231,237,246,249,250"
627,6,6,"228,231,237,246,249,250"
628,6,6,"228,231,237,246,249,250"
